image_path,assigned_split,clahe_image_path
D:\ALS\data\liver_images\F0\a1000.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1000.jpg
D:\ALS\data\liver_images\F0\a1002.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a1002.jpg
D:\ALS\data\liver_images\F0\a1005.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1005.jpg
D:\ALS\data\liver_images\F0\a1010.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1010.jpg
D:\ALS\data\liver_images\F0\a1027.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1027.jpg
D:\ALS\data\liver_images\F0\a1028.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1028.jpg
D:\ALS\data\liver_images\F0\a1037.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1037.jpg
D:\ALS\data\liver_images\F0\a1041.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1041.jpg
D:\ALS\data\liver_images\F0\a1045.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a1045.jpg
D:\ALS\data\liver_images\F0\a1047.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1047.jpg
D:\ALS\data\liver_images\F0\a1051.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1051.jpg
D:\ALS\data\liver_images\F0\a1055.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1055.jpg
D:\ALS\data\liver_images\F0\a1058.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1058.jpg
D:\ALS\data\liver_images\F0\a1062.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1062.jpg
D:\ALS\data\liver_images\F0\a107.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a107.jpg
D:\ALS\data\liver_images\F0\a1070.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1070.jpg
D:\ALS\data\liver_images\F0\a108.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a108.jpg
D:\ALS\data\liver_images\F0\a109.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a109.jpg
D:\ALS\data\liver_images\F0\a110.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a110.jpg
D:\ALS\data\liver_images\F0\a1104.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1104.jpg
D:\ALS\data\liver_images\F0\a111.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a111.jpg
D:\ALS\data\liver_images\F0\a1117.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a1117.jpg
