epoch,train_loss,train_acc,val_loss,val_acc
23,0.4094,99.07,0.4963,95.81
24,0.4083,99.27,0.4136,98.97
25,0.391,99.98,0.4179,98.97
26,0.3902,100.0,0.4174,98.97
27,0.3901,100.0,0.4192,98.97
28,0.395,99.78,0.4273,98.58
29,0.4019,99.57,0.4213,98.97
30,0.4013,99.53,0.4251,98.5
31,0.3944,99.82,0.421,98.66
32,0.3904,100.0,0.4213,98.97
33,0.3907,99.98,0.4234,98.89
34,0.3904,99.98,0.4201,98.97
35,0.3917,99.88,0.4273,98.74
36,0.3916,99.96,0.4238,98.81
37,0.39,100.0,0.4213,98.97
38,0.3924,99.88,0.4251,98.58
39,0.3917,99.92,0.424,98.81
40,0.3917,99.94,0.42,98.81
41,0.39,100.0,0.4195,98.81
42,0.3899,100.0,0.4192,99.05
43,0.3898,100.0,0.4189,98.89
44,0.3898,100.0,0.4188,98.89
45,0.3898,100.0,0.4186,98.89
46,0.3898,100.0,0.4184,98.89
47,0.3898,100.0,0.4182,98.89
48,0.3899,100.0,0.4186,98.89
49,0.3898,100.0,0.4185,98.89
50,0.3898,100.0,0.4189,98.74
